Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:18:05.669] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-14 13:18:11.573] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-14 13:18:11.620] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-14 13:18:20.812] UART: {'type': 'key', 'key': 'pressed', 'value': 56}
[2025-06-14 13:18:20.833] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-14 13:18:28.292] UART: {'type': 'volume', 'key': '0', 'value': 241}
[2025-06-14 13:18:28.311] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:28.411] UART: {'type': 'volume', 'key': '0', 'value': 166}
[2025-06-14 13:18:28.447] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-14 13:18:40.382] UART: {'type': 'volume', 'key': '0', 'value': 103}
[2025-06-14 13:18:40.393] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:18:40.398] UART: {'type': 'volume', 'key': '0', 'value': 0}
[2025-06-14 13:18:40.411] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:18:43.505] UART: {'type': 'volume', 'key': '1', 'value': 1450}
[2025-06-14 13:18:43.543] UART: {'type': 'proxy', 'key': 'distance', 'value': 85}
[2025-06-14 13:18:43.753] UART: {'type': 'volume', 'key': '1', 'value': 1558}
[2025-06-14 13:18:43.789] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-14 13:18:43.893] UART: {'type': 'volume', 'key': '1', 'value': 1680}
[2025-06-14 13:18:43.935] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-14 13:18:44.040] UART: {'type': 'volume', 'key': '1', 'value': 1798}
[2025-06-14 13:18:44.081] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-14 13:18:44.182] UART: {'type': 'volume', 'key': '1', 'value': 1860}
[2025-06-14 13:18:44.219] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-14 13:18:44.330] UART: {'type': 'volume', 'key': '1', 'value': 2015}
[2025-06-14 13:18:44.366] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-14 13:18:44.466] UART: {'type': 'volume', 'key': '1', 'value': 2144}
[2025-06-14 13:18:44.510] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:44.615] UART: {'type': 'volume', 'key': '1', 'value': 2235}
[2025-06-14 13:18:44.658] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:44.853] UART: {'type': 'volume', 'key': '1', 'value': 2335}
[2025-06-14 13:18:44.903] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-14 13:18:44.999] UART: {'type': 'volume', 'key': '1', 'value': 2422}
[2025-06-14 13:18:45.045] UART: {'type': 'proxy', 'key': 'distance', 'value': 85}
[2025-06-14 13:18:45.242] UART: {'type': 'volume', 'key': '1', 'value': 2482}
[2025-06-14 13:18:45.285] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-14 13:18:47.556] UART: {'type': 'volume', 'key': '0', 'value': 65}
[2025-06-14 13:18:47.565] UART: {'type': 'proxy', 'key': 'distance', 'value': 90}
[2025-06-14 13:18:47.633] UART: {'type': 'volume', 'key': '0', 'value': 138}
[2025-06-14 13:18:47.673] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-14 13:18:47.779] UART: {'type': 'volume', 'key': '0', 'value': 198}
[2025-06-14 13:18:47.820] UART: {'type': 'proxy', 'key': 'distance', 'value': 91}
[2025-06-14 13:18:47.918] UART: {'type': 'volume', 'key': '0', 'value': 310}
[2025-06-14 13:18:47.962] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-14 13:18:48.762] UART: {'type': 'volume', 'key': '1', 'value': 2417}
[2025-06-14 13:18:48.816] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:48.909] UART: {'type': 'volume', 'key': '1', 'value': 2357}
[2025-06-14 13:18:48.955] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:49.156] UART: {'type': 'volume', 'key': '1', 'value': 2242}
[2025-06-14 13:18:49.198] UART: {'type': 'proxy', 'key': 'distance', 'value': 82}
[2025-06-14 13:18:49.312] UART: {'type': 'volume', 'key': '1', 'value': 2128}
[2025-06-14 13:18:49.382] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:49.444] UART: {'type': 'volume', 'key': '1', 'value': 2011}
[2025-06-14 13:18:49.482] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-14 13:18:49.586] UART: {'type': 'volume', 'key': '1', 'value': 1920}
[2025-06-14 13:18:49.626] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:49.730] UART: {'type': 'volume', 'key': '1', 'value': 1840}
[2025-06-14 13:18:49.768] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:18:50.370] UART: {'type': 'volume', 'key': '0', 'value': 398}
[2025-06-14 13:18:50.417] UART: {'type': 'proxy', 'key': 'distance', 'value': 90}
[2025-06-14 13:18:50.519] UART: {'type': 'volume', 'key': '0', 'value': 529}
[2025-06-14 13:18:50.558] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-14 13:18:55.140] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:18:55.153] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:18:57.667] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:18:57.678] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-14 13:18:59.247] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:18:59.293] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-14 13:18:59.896] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:18:59.943] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-14 13:19:35.883] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:19:35.893] UART: {'type': 'proxy', 'key': 'distance', 'value': 78}
[2025-06-14 13:19:38.858] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:19:38.870] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-14 13:19:43.390] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:19:43.401] UART: {'type': 'proxy', 'key': 'distance', 'value': 83}
[2025-06-14 13:19:44.976] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:19:45.011] UART: {'type': 'proxy', 'key': 'distance', 'value': 96}
