Varsta 23
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:22:39 ===
[2025-06-13 19:23:01.971] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-13 19:23:02.279] UART: {'type': 'volume', 'key': '1', 'value': 720}
[2025-06-13 19:23:02.321] UART: {'type': 'proxy', 'key': 'distance', 'value': 91}
[2025-06-13 19:23:02.520] UART: {'type': 'volume', 'key': '1', 'value': 664}
[2025-06-13 19:23:02.560] UART: {'type': 'proxy', 'key': 'distance', 'value': 90}
[2025-06-13 19:23:02.861] UART: {'type': 'volume', 'key': '1', 'value': 609}
[2025-06-13 19:23:02.910] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-13 19:23:03.014] UART: {'type': 'volume', 'key': '1', 'value': 517}
[2025-06-13 19:23:03.069] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-13 19:23:03.154] UART: {'type': 'volume', 'key': '1', 'value': 449}
[2025-06-13 19:23:03.198] UART: {'type': 'proxy', 'key': 'distance', 'value': 91}
[2025-06-13 19:23:03.302] UART: {'type': 'volume', 'key': '1', 'value': 361}
[2025-06-13 19:23:03.344] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-13 19:23:03.446] UART: {'type': 'volume', 'key': '1', 'value': 304}
[2025-06-13 19:23:03.485] UART: {'type': 'proxy', 'key': 'distance', 'value': 95}
[2025-06-13 19:23:03.585] UART: {'type': 'volume', 'key': '1', 'value': 212}
[2025-06-13 19:23:03.629] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-13 19:23:03.735] UART: {'type': 'volume', 'key': '1', 'value': 33}
[2025-06-13 19:23:03.776] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-13 19:23:11.467] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:23:11.848] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-13 19:23:14.523] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:23:14.531] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 19:23:16.083] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:23:16.109] UART: {'type': 'proxy', 'key': 'distance', 'value': 61}
[2025-06-13 19:23:20.093] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:23:20.100] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-13 19:23:29.550] UART: {'type': 'volume', 'key': '0', 'value': 1616}
[2025-06-13 19:23:29.564] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 19:23:29.570] UART: {'type': 'volume', 'key': '0', 'value': 1668}
[2025-06-13 19:23:29.588] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-13 19:23:29.595] UART: {'type': 'volume', 'key': '0', 'value': 1726}
[2025-06-13 19:23:29.614] UART: {'type': 'proxy', 'key': 'distance', 'value': 43}
[2025-06-13 19:23:29.690] UART: {'type': 'volume', 'key': '0', 'value': 1831}
[2025-06-13 19:23:29.726] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-13 19:23:30.234] UART: {'type': 'volume', 'key': '0', 'value': 1903}
[2025-06-13 19:23:30.275] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-13 19:23:30.677] UART: {'type': 'volume', 'key': '0', 'value': 1955}
[2025-06-13 19:23:30.715] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
