Varsta 22
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:42:00 ===
[2025-06-13 20:04:52.988] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:53.094] UART: {'type': 'volume', 'key': '1', 'value': 0}
[2025-06-13 20:04:53.117] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:53.921] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:04:53.960] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-13 20:04:54.964] UART: {'type': 'volume', 'key': '0', 'value': 458}
[2025-06-13 20:04:54.985] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.090] UART: {'type': 'volume', 'key': '0', 'value': 562}
[2025-06-13 20:04:55.110] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.217] UART: {'type': 'volume', 'key': '0', 'value': 681}
[2025-06-13 20:04:55.240] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.462] UART: {'type': 'volume', 'key': '0', 'value': 379}
[2025-06-13 20:04:55.482] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.570] UART: {'type': 'volume', 'key': '0', 'value': 70}
[2025-06-13 20:04:55.596] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.699] UART: {'type': 'volume', 'key': '0', 'value': 7}
[2025-06-13 20:04:55.724] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:55.921] UART: {'type': 'volume', 'key': '0', 'value': 61}
[2025-06-13 20:04:55.947] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.058] UART: {'type': 'volume', 'key': '0', 'value': 680}
[2025-06-13 20:04:56.076] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.182] UART: {'type': 'volume', 'key': '0', 'value': 1042}
[2025-06-13 20:04:56.202] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.302] UART: {'type': 'volume', 'key': '0', 'value': 1318}
[2025-06-13 20:04:56.327] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.429] UART: {'type': 'volume', 'key': '0', 'value': 1414}
[2025-06-13 20:04:56.454] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.559] UART: {'type': 'volume', 'key': '0', 'value': 1498}
[2025-06-13 20:04:56.581] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.699] UART: {'type': 'volume', 'key': '0', 'value': 1670}
[2025-06-13 20:04:56.721] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:56.815] UART: {'type': 'volume', 'key': '0', 'value': 1825}
[2025-06-13 20:04:56.840] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
